Codigo Familia;Familia;legado
1645;VOIL SUPER 3.00M;1645-VOIL SUPER 3.00M
1648;VOIL SUICO 3.00M;1648-VOIL SUICO 3.00M
1655;VOIL NEVADO 3.00M;1655-VOIL NEVADO 3.00M
1662;VOIL CRISTAL 3.00M;1662-VOIL CRISTAL 3.00M
1705;FLAME D'ACQUA 1.40M;1705-FLAME D'ACQUA 1.40M
1710;VOIL CORTTEX XADREZ 3 1,50;1710-VOIL CORTTEX XADREZ 3 1,50
1727;VOIL HILO 3.00M;1727-VOIL HILO 3.00M
1752;VOIL LIST 3.00M;1752-VOIL LIST 3.00M
1754;VOIL SHANTUNG 3.00M;1754-VOIL SHANTUNG 3.00M
1769;VOIL SHANTUNG XD 3.00M CRU;1769-VOIL SHANTUNG XD 3.00M CRU
1770;VOIL XD 3.00M;1770-VOIL XD 3.00M
1772;VOIL SHANTUNG 3.00M;1772-VOIL SHANTUNG 3.00M
1776;RUSTICO 1 3.00M;1776-RUSTICO 1 3.00M
1777;RUSTICO 2 3.00M;1777-RUSTICO 2 3.00M
1778;CETIM 3.00M;1778-CETIM 3.00M
1802;RETALHO DE FORRO;1802-RETALHO DE FORRO
1804;RETALHO GRAN/CETIM;1804-RETALHO GRAN/CETIM
1808;RETALHO DE VOIL;1808-RETALHO DE VOIL
1809;RETALHO GORGU/RUSTICO;1809-RETALHO GORGU/RUSTICO
1825;GORGURAO 3.00M;1825-GORGURAO 3.00M
1827;VOIL AM 2.65/2.70M;1827-VOIL AM 2.65/2.70M
1830;VOIL SHANTUNG 2.65/2.70M;1830-VOIL SHANTUNG 2.65/2.70M
1831;VOIL DOUBLE 3.00M;1831-VOIL DOUBLE 3.00M
1838;VOIL SHANTUNG LINHO 1 3.00M;1838-VOIL SHANTUNG LINHO 1 3.00M
1858;VOIL FANTASIA 1 3.00M;1858-VOIL FANTASIA 1 3.00M
1859;VOIL FANTASIA 2 3.00M;1859-VOIL FANTASIA 2 3.00M
1861;VOIL FANTASIA 6 3.00M;1861-VOIL FANTASIA 6 3.00M
1868;RUSTICO 3 3.00M;1868-RUSTICO 3 3.00M
1870;VOIL LIST AM 2.65/2.70M;1870-VOIL LIST AM 2.65/2.70M
1871;CETIM AM 2.60/2.70M;1871-CETIM AM 2.60/2.70M
1888;SHANTUNG COTTON 2.80 M;1888-SHANTUNG COTTON 2.80 M
1903;VOIL BD 2.90M;1903-VOIL BD 2.90M
1904;VOIL BD 2.90M;1904-VOIL BD 2.90M
1905;VOIL BD AM 2.70M;1905-VOIL BD AM 2.70M
1909;VOIL BD AM 2.70M;1909-VOIL BD AM 2.70M
1923;VOIL LIST PRATA 3.00M;1923-VOIL LIST PRATA 3.00M
1932;VOIL LIST AM 3.00M;1932-VOIL LIST AM 3.00M
1933;VOIL LIST PRATA AM 3.00M;1933-VOIL LIST PRATA AM 3.00M
1936;VOIL LIST AM 3.00M;1936-VOIL LIST AM 3.00M
1937;VOIL LIST PRATA AM 3.00M;1937-VOIL LIST PRATA AM 3.00M
1944;VOIL XD AM 3.00M;1944-VOIL XD AM 3.00M
1945;SEMI BLACKOUT 1.45M;1945-SEMI BLACKOUT 1.45M
1947;VOIL LIST 3.00M;1947-VOIL LIST 3.00M
1948;VOIL LIST 3.00M BRANCO;1948-VOIL LIST 3.00M BRANCO
1949;VOIL LIST 3.00M;1949-VOIL LIST 3.00M
1950;VOIL LIST 3.00M;1950-VOIL LIST 3.00M
1951;VOIL LIST 3.00M;1951-VOIL LIST 3.00M
1952;VOIL LIST 3.00M;1952-VOIL LIST 3.00M
1953;VOIL LIST 3.00M;1953-VOIL LIST 3.00M
1954;VOIL LIST 3.00M;1954-VOIL LIST 3.00M
1955;VOIL LIST 3.00M;1955-VOIL LIST 3.00M
1956;VOIL LIST 3.00M;1956-VOIL LIST 3.00M
1958;VOIL LIST AM 3.00M;1958-VOIL LIST AM 3.00M
1959;VOIL LIST AM 3.00M;1959-VOIL LIST AM 3.00M
1960;VOIL LIST AM 3.00M;1960-VOIL LIST AM 3.00M
1962;VOIL LIST AM 3.00M;1962-VOIL LIST AM 3.00M
1963;VOIL LIST AM 3.00M;1963-VOIL LIST AM 3.00M
1964;VOIL LIST AM 3.00M;1964-VOIL LIST AM 3.00M
1965;VOIL LIST AM 3.00M;1965-VOIL LIST AM 3.00M
1968;CETIM CHENILLE 3.00M;1968-CETIM CHENILLE 3.00M
1969;CETIM CHENILLE 3.00M;1969-CETIM CHENILLE 3.00M
1973;CETIM FLAME 3.00M;1973-CETIM FLAME 3.00M
1977;RETALHO DE MICROFIBRA;1977-RETALHO DE MICROFIBRA
1997;APARAS DE MICROFIBRA2;1997-APARAS DE MICROFIBRA2
1998;VOIL 3.00M;1998-VOIL 3.00M
2000;RETALHO DE MANTA MICROFIBRA DIVERSOS;2000-RETALHO DE MANTA MICROFIBRA DIVERSOS
2132;CHIFFON ANNECY 3.00M;2132-CHIFFON ANNECY 3.00M
2378;JACQUARD BR(2377) 1,60 M;2378-JACQUARD BR(2377) 1,60 M
2379;BLACKOUT 2.80M;2379-BLACKOUT 2.80M
2380;BLACKOUT MAGNETIC 2.80M;2380-BLACKOUT MAGNETIC 2.80M
2381;BLACK OUT SILK 1.40M;2381-BLACK OUT SILK 1.40M
2384;VOIL CHENILLE LIST 2.80M;2384-VOIL CHENILLE LIST 2.80M
2387;VOIL BOUCLE LIST 3.00M;2387-VOIL BOUCLE LIST 3.00M
2388;VOIL LINHO LIST 3.00M;2388-VOIL LINHO LIST 3.00M
2389;VOIL LINHO LIST 3.00M;2389-VOIL LINHO LIST 3.00M
2390;VOIL LINHO LIST 3.00M;2390-VOIL LINHO LIST 3.00M
2391;VOIL LINHO LISO 2.90M;2391-VOIL LINHO LISO 2.90M
2392;VOIL LINEN LOOK 2.80M;2392-VOIL LINEN LOOK 2.80M
2393;VOIL FLAME LIST 2.80M;2393-VOIL FLAME LIST 2.80M
2394;VOIL CHENILLE LIST 2.80M;2394-VOIL CHENILLE LIST 2.80M
2395;TAFETA FLAME LIST 2.80M;2395-TAFETA FLAME LIST 2.80M
2400;TAMARA 1.45M;2400-TAMARA 1.45M
2402;DAMASCO 1.40M;2402-DAMASCO 1.40M
2403;LIRA 1.45M;2403-LIRA 1.45M
2404;VIME 1.45M;2404-VIME 1.45M
2406;CHEVRON 1.45M;2406-CHEVRON 1.45M
2407;CHEVRON XD 1.45M;2407-CHEVRON XD 1.45M
2408;CHEVRON LIST 1.45M;2408-CHEVRON LIST 1.45M
2409;RUSTICO 2.80M;2409-RUSTICO 2.80M
2413;VOIL LINHO LIST 2.80M;2413-VOIL LINHO LIST 2.80M
2414;VOIL LINHO LIST 2.80M;2414-VOIL LINHO LIST 2.80M
2415;VOIL LINHO LIST 2.80M;2415-VOIL LINHO LIST 2.80M
2416;VOIL LINHO LIST 2.80M;2416-VOIL LINHO LIST 2.80M
2417;VOIL LINHO LIST 2.80M;2417-VOIL LINHO LIST 2.80M
